feature,importance
study_hours,0.5895793869278958
class_attendance,0.15012015213784505
sleep_hours,0.05733359649046886
study_method_coaching,0.02637734665586633
age,0.02115518911877205
sleep_quality_poor,0.019885333476963418
sleep_quality_good,0.017432764653586338
facility_rating_low,0.01583742397014474
facility_rating_high,0.013304073454530533
study_method_mixed,0.006237610400885094
study_method_self-study,0.005627002806691914
sleep_quality_average,0.0045420919118555605
course_diploma,0.00451752841328059
gender_female,0.0044799861669825546
course_bca,0.004434058090881615
course_b.tech,0.004349048503055232
course_b.sc,0.004325664454688018
study_method_online videos,0.004262289658828344
gender_other,0.004250949576288608
gender_male,0.0041958094918604465
exam_difficulty_easy,0.004160410626474392
exam_difficulty_hard,0.004153613414127453
exam_difficulty_moderate,0.004084111475065181
course_b.com,0.004079488153302148
course_bba,0.004045299461947426
course_ba,0.004015019139558321
facility_rating_medium,0.0038450143811501916
study_method_group study,0.003785173859234458
internet_access_no,0.002800522649512161
internet_access_yes,0.0027840404782571164
